"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 29 16:43:30 GMT 2021","Thu Jul 29 16:43:30 GMT 2021","78","","WikipediaTest","","WikipediaTest","testWikipedia","testWikipedia()",""
"broken","Thu Jul 29 16:43:30 GMT 2021","Thu Jul 29 16:43:30 GMT 2021","2","","WikipediaTest","","WikipediaTest","searchSeleniumAndGoBack","searchSeleniumAndGoBack()",""
"broken","Thu Jul 29 16:43:30 GMT 2021","Thu Jul 29 16:43:30 GMT 2021","3","","WikipediaTest","","WikipediaTest","loginToWikipedia","loginToWikipedia()",""
"broken","Thu Jul 29 16:43:30 GMT 2021","Thu Jul 29 16:43:30 GMT 2021","2","","WikipediaTest","","WikipediaTest","settingFontSize","settingFontSize()",""
"broken","Thu Jul 29 16:43:30 GMT 2021","Thu Jul 29 16:43:30 GMT 2021","6","","WikipediaTest","","WikipediaTest","searchSeleniumGrid","searchSeleniumGrid()",""
"broken","Thu Jul 29 16:43:30 GMT 2021","Thu Jul 29 16:43:30 GMT 2021","4","","WikipediaTest","","WikipediaTest","searchFramework","searchFramework()",""
